invoice_id,invoice_date,buyer_id,buyer_name,supplier_id,supplier_name,commodity_category,volume_usd,invoice_qty,unit_of_measure,country
INV_00000048,2024-05-03,BUY_002443,Google/Alphabet,SUP_000021,South Energy Manufacturing,Electronics,4549.79,454.98,units,China
INV_00000049,2024-03-05,BUY_005599,NVIDIA Corporation,SUP_000040,Asian_Steel_Corp,Energy,4244.89,424.49,units,China
INV_00000050,2024-05-14,BUY_001671,Apple Inc,SUP_000038,North Electronics Ltd,Steel,13296.34,132.96,tonnes,China
INV_00000051,2024-02-03,BUY_006268,Samsung Electronics,SUP_000029,Euro Textiles Manufacturing,Chemicals,5903.6,59.04,tonnes,Germany
INV_00000052,2024-04-23,BUY_001671,Apple Inc,SUP_000040,Asian Steel Corp,Steel,12138.08,121.38,tonnes,Japan
INV_00000053,2024-02-08,BUY_005133,Microsoft Corporation,SUP_000001,Taiwan Semiconductor,Energy,14936.05,1493.6,units,Vietnam
INV_00000054,2024-10-20,BUY_006268,Samsung Electronics,SUP_000008,BASF Germany,Textiles,5728.59,572.86,units,USA
INV_00000055,2023-02-21,BUY_002759,Intel Corporation,SUP_000004,ArcelorMittal Vietnam,Chemicals,6476.3,64.76,tonnes,Vietnam
INV_00000056,2023-12-01,BUY_000316,H&M Group,SUP_000027,Pacific Textiles Ltd,Chemicals,5345.29,53.45,tonnes,India
INV_00000057,2024-03-07,BUY_001671,Apple Inc,SUP_000037,South Chemicals Industries,Chemicals,7001.64,70.02,tonnes,Japan
INV_00000058,2024-07-06,BUY_005599,NVIDIA Corporation,SUP_000024,Euro Energy Ltd,Electronics,4983.02,498.3,units,China
INV_00000059,2024-10-27,BUY_001671,Apple Inc,SUP_000049,Global Electronics Ltd,Electronics,8393.44,839.34,units,Germany
INV_00000060,2023-02-01,BUY_006268,Samsung Electronics,SUP_000001,Taiwan Semiconductor,Steel,7562.48,75.62,tonnes,Vietnam
INV_00000061,2023-09-02,BUY_005599,NVIDIA Corporation,SUP_000002,SH,Steel,12383.1,123.83,tonnes,Vietnam
INV_00000062,2024-04-21,BUY_005133,Microsoft Corporation,SUP_000012,Archroma,Chemicals,3557.56,35.58,tonnes,Vietnam
INV_00000063,2023-06-17,BUY_000316,H&M Group,SUP_000001,Taiwan Semiconductor,Chemicals,3705.56,37.06,tonnes,Vietnam
INV_00000064,2024-08-12,BUY_005133,Microsoft Corporation,SUP_000004,ArcelorMittal Vietnam,Textiles,3881.29,388.13,units,Vietnam
INV_00000065,2024-08-29,BUY_005133,Microsoft Corporation,SUP_000006,Nippon Steel,Steel,20038.7,200.39,tonnes,China
INV_00000066,2024-08-02,BUY_003452,Tesla Inc,SUP_000008,BASF,Electronics,4467.5,446.75,units,China
INV_00000067,2023-03-12,BUY_002443,Google/Alphabet,SUP_000002,SK Hynix,Energy,18919.08,1891.91,units,India
INV_00000068,2024-05-16,BUY_002759,Intel Corporation,SUP_000007,Global_Steel,Electronics,4578.62,457.86,units,Vietnam
INV_00000069,2024-12-25,BUY_000316,H&M Group,SUP_000009,Dow_Chemical,Steel,12245.38,122.45,tonnes,China
INV_00000070,2024-09-22,BUY_002443,Google/Alphabet,SUP_000036,Global_Chemicals_Industries,Energy,18885.21,1888.52,units,India
INV_00000071,2024-08-29,BUY_005133,Microsoft Corporation,SUP_000005,POSCO,Chemicals,11604.98,116.05,tonnes,China
INV_00000072,2023-10-13,BUY_002443,Google/Alphabet,SUP_000008,BASF Germany,Textiles,3712.29,371.23,units,USA
INV_00000073,2023-12-11,BUY_006268,Samsung Electronics,SUP_000007,Global Steel,Electronics,7926.06,792.61,units,India
INV_00000074,2024-05-14,BUY_003452,Tesla Inc,SUP_000005,POSCO India,Steel,1425.96,14.26,tonnes,India
INV_00000075,2023-10-14,BUY_001671,Apple Inc,SUP_000020,Euro Electronics Ltd,Energy,33484.78,3348.48,units,USA
INV_00000076,2024-06-13,BUY_002759,Intel Corporation,SUP_000008,BASF,Steel,12965.6,129.66,tonnes,China
INV_00000077,2024-07-22,BUY_002759,Intel Corporation,SUP_000048,Asian Energy Manufacturing,Steel,17083.78,170.84,tonnes,Germany
INV_00000078,2024-04-03,BUY_002443,Google/Alphabet,SUP_000005,POSCO,Electronics,3939.48,393.95,units,China
INV_00000079,2024-12-09,BUY_003452,Tesla Inc,SUP_000010,LyondellBasell,Steel,7896.96,78.97,tonnes,USA
INV_00000080,2024-04-29,BUY_003452,Tesla Inc,SUP_000008,BASF,Energy,13864.39,1386.44,units,China
INV_00000081,2023-12-27,BUY_005599,NVIDIA Corporation,SUP_000005,POSCO India,Textiles,3447.28,344.73,units,India
INV_00000082,2023-05-04,BUY_006268,Samsung Electronics,SUP_000009,DC,Steel,17911.58,179.12,tonnes,China
INV_00000083,2023-07-16,BUY_000316,H&M Group,SUP_000020,Euro Electronics Ltd,Steel,16379.42,163.79,tonnes,USA
INV_00000084,2023-04-13,BUY_006268,Samsung Electronics,SUP_000007,Global_Steel,Steel,8327.72,83.28,tonnes,Vietnam
INV_00000085,2023-11-06,BUY_000316,H&M Group,SUP_000009,Dow_Chemical,Electronics,3836.63,383.66,units,China
INV_00000086,2023-02-16,BUY_002759,Intel Corporation,SUP_000003,Micron Tech,Electronics,6147.72,614.77,units,USA
INV_00000087,2023-04-16,BUY_002759,Intel Corporation,SUP_000009,Dow Chemical,Electronics,6449.55,644.96,units,USA
INV_00000088,2024-03-27,BUY_000316,H&M Group,SUP_000002,SK Hynix,Chemicals,4327.24,43.27,tonnes,India
INV_00000089,2024-05-04,BUY_002759,Intel Corporation,SUP_000029,Euro Textiles Manufacturing,Electronics,6930.52,693.05,units,Germany
INV_00000090,2023-03-17,BUY_006268,Samsung Electronics,SUP_000004,ArcelorMittal Vietnam,Energy,14959.17,1495.92,units,Vietnam
INV_00000091,2023-06-02,BUY_005599,NVIDIA Corporation,SUP_000007,Global Steel,Energy,21852.46,2185.25,units,India
INV_00000092,2023-05-02,BUY_005599,NVIDIA Corporation,SUP_000044,Euro Chemicals Manufacturing,Energy,11506.86,1150.69,units,China
INV_00000093,2024-06-19,BUY_000316,H&M Group,SUP_000008,BASF Germany,Textiles,3160.72,316.07,units,USA
INV_00000094,2024-08-25,BUY_001671,Apple Inc,SUP_000011,Huntsman,Textiles,3328.34,332.83,units,USA
INV_00000095,2024-09-16,BUY_005599,NVIDIA Corporation,SUP_000016,Exxon Mobil,Electronics,2622.31,262.23,units,Germany
INV_00000096,2023-09-28,BUY_005133,Microsoft Corporation,SUP_000004,ArcelorMittal,Electronics,4613.6,461.36,units,India
INV_00000097,2023-06-10,BUY_002759,Intel Corporation,SUP_000011,Huntsman,Electronics,6957.86,695.79,units,USA
INV_00000098,2023-10-26,BUY_002759,Intel Corporation,SUP_000006,Nippon Steel,Electronics,4208.59,420.86,units,China
INV_00000099,2023-03-14,BUY_005599,NVIDIA Corporation,SUP_000046,North Steel Manufacturing,Steel,13688.79,136.89,tonnes,Japan
INV_00000100,2024-03-11,BUY_000316,H&M Group,SUP_000003,Micron Tech,Electronics,2342.8,234.28,units,USA
INV_00000101,2023-05-26,BUY_000316,H&M Group,SUP_000006,Nippon Steel,Electronics,3326.97,332.7,units,China
INV_00000102,2024-03-25,BUY_002443,Google/Alphabet,SUP_000006,Nippon Steel,Electronics,3106.49,310.65,units,China
INV_00000103,2023-10-06,BUY_005133,Microsoft Corporation,SUP_000008,BASF Germany,Energy,17113.05,1711.3,units,USA
INV_00000104,2024-09-04,BUY_000316,H&M Group,SUP_000022,Global_Textiles_Industries,Electronics,6174.21,617.42,units,USA
INV_00000105,2023-01-27,BUY_001671,Apple Inc,SUP_000010,LyondellBasell,Electronics,5575.78,557.58,units,USA
INV_00000106,2024-11-19,BUY_002759,Intel Corporation,SUP_000004,ArcelorMittal,Chemicals,12292.7,122.93,tonnes,India
INV_00000107,2024-06-15,BUY_002443,Google/Alphabet,SUP_000014,Shell,Textiles,2739.97,274.0,units,Vietnam
INV_00000108,2024-10-12,BUY_003452,Tesla Inc,SUP_000037,South Chemicals Industries,Textiles,3911.21,391.12,units,Japan
INV_00000109,2024-02-23,BUY_006268,Samsung Electronics,SUP_000002,SH,Chemicals,4666.0,46.66,tonnes,Vietnam
INV_00000110,2023-12-04,BUY_002443,Google/Alphabet,SUP_000020,Euro_Electronics_Ltd,Textiles,118.8,11.88,units,India
INV_00000111,2024-07-17,BUY_000316,H&M Group,SUP_000007,Global Steel,Electronics,4081.25,408.13,units,India
INV_00000112,2023-11-28,BUY_001671,Apple Inc,SUP_000029,Euro Textiles Manufacturing,Electronics,7066.24,706.62,units,Germany
INV_00000113,2024-11-04,BUY_005599,NVIDIA Corporation,SUP_000002,SK Hynix,Energy,35735.34,3573.53,units,India
INV_00000114,2024-06-14,BUY_002759,Intel Corporation,SUP_000038,North_Electronics_Ltd,Chemicals,6235.25,62.35,tonnes,China
INV_00000115,2023-02-22,BUY_000316,H&M Group,SUP_000003,Micron Tech,Steel,14856.96,148.57,tonnes,USA
INV_00000116,2024-03-24,BUY_005599,NVIDIA Corporation,SUP_000011,Huntsman,Textiles,3183.77,318.38,units,USA
INV_00000117,2024-12-27,BUY_002443,Google/Alphabet,SUP_000001,Taiwan Semiconductor,Steel,9522.87,95.23,tonnes,Vietnam
INV_00000118,2023-04-06,BUY_002759,Intel Corporation,SUP_000008,BASF Germany,Steel,23614.09,236.14,tonnes,USA
INV_00000119,2023-05-01,BUY_000316,H&M Group,SUP_000006,Nippon Steel,Steel,15007.73,150.08,tonnes,China
INV_00000120,2024-03-01,BUY_002759,Intel Corporation,SUP_000018,SEC,Textiles,3014.31,301.43,units,China
INV_00000121,2024-07-18,BUY_006268,Samsung Electronics,SUP_000011,Huntsman,Steel,13798.04,137.98,tonnes,USA
INV_00000122,2023-03-13,BUY_003452,Tesla Inc,SUP_000031,Euro Electronics Inc,Chemicals,8240.66,82.41,tonnes,India
INV_00000123,2024-06-03,BUY_000316,H&M Group,SUP_000020,Euro_Electronics_Ltd,Chemicals,2988.13,29.88,tonnes,India
INV_00000124,2024-08-24,BUY_006268,Samsung Electronics,SUP_000038,North Electronics Ltd,Energy,22719.27,2271.93,units,China
INV_00000125,2024-04-02,BUY_002443,Google/Alphabet,SUP_000007,Global Steel,Energy,26735.6,2673.56,units,India
INV_00000126,2024-04-11,BUY_002443,Google/Alphabet,SUP_000018,South_Electronics_Corp,Chemicals,3821.58,38.22,tonnes,Vietnam
INV_00000127,2023-08-28,BUY_002443,Google/Alphabet,SUP_000009,Dow Chemical,Textiles,2967.76,296.78,units,USA
INV_00000128,2024-01-31,BUY_006268,Samsung Electronics,SUP_000002,SK Hynix,Steel,9298.95,92.99,tonnes,India
INV_00000129,2024-05-29,BUY_002759,Intel Corporation,SUP_000002,SH,Energy,12777.76,1277.78,units,Vietnam
INV_00000130,2023-04-13,BUY_006268,Samsung Electronics,SUP_000002,SK Hynix,Energy,5411.22,541.12,units,India
INV_00000131,2024-02-24,BUY_003452,Tesla Inc,SUP_000005,POSCO India,Steel,8630.33,86.3,tonnes,India
INV_00000132,2024-09-30,BUY_002443,Google/Alphabet,SUP_000022,GTI,Textiles,1237.76,123.78,units,China
INV_00000133,2023-11-21,BUY_005133,Microsoft Corporation,SUP_000003,Micron Tech,Textiles,5342.96,534.3,units,USA
INV_00000134,2023-08-29,BUY_002443,Google/Alphabet,SUP_000007,Global_Steel,Chemicals,4822.39,48.22,tonnes,Vietnam
INV_00000135,2023-04-11,BUY_001671,Apple Inc,SUP_000006,Nippon Steel,Electronics,6155.9,615.59,units,China
INV_00000136,2023-02-17,BUY_003452,Tesla Inc,SUP_000020,EEL,Chemicals,4873.33,48.73,tonnes,Germany
INV_00000137,2024-01-19,BUY_002443,Google/Alphabet,SUP_000009,Dow_Chemical,Textiles,1610.82,161.08,units,China
INV_00000138,2024-08-02,BUY_002443,Google/Alphabet,SUP_000002,SK_Hynix,Steel,25216.88,252.17,tonnes,Germany
INV_00000139,2024-09-26,BUY_006268,Samsung Electronics,SUP_000010,LyondellBasell,Steel,11676.3,116.76,tonnes,USA
INV_00000140,2023-08-26,BUY_000316,H&M Group,SUP_000036,Global Chemicals Industries,Textiles,3073.89,307.39,units,China
INV_00000141,2024-11-13,BUY_000316,H&M Group,SUP_000036,Global_Chemicals_Industries,Electronics,6852.86,685.29,units,India
INV_00000142,2024-11-24,BUY_003452,Tesla Inc,SUP_000008,BASF Germany,Energy,10281.79,1028.18,units,USA
INV_00000143,2024-08-24,BUY_000316,H&M Group,SUP_000032,Global Electronics Group,Chemicals,11312.53,113.13,tonnes,Germany
INV_00000144,2024-04-12,BUY_002759,Intel Corporation,SUP_000007,GS,Chemicals,6255.5,62.55,tonnes,India
INV_00000145,2023-04-20,BUY_000316,H&M Group,SUP_000007,Global_Steel,Steel,14370.93,143.71,tonnes,Vietnam
INV_00000146,2024-12-17,BUY_000316,H&M Group,SUP_000007,GS,Chemicals,4181.92,41.82,tonnes,India
INV_00000147,2023-01-09,BUY_002759,Intel Corporation,SUP_000004,ArcelorMittal Vietnam,Energy,6039.26,603.93,units,Vietnam
INV_00000148,2023-10-21,BUY_005599,NVIDIA Corporation,SUP_000025,North Energy Corp,Steel,14792.15,147.92,tonnes,Vietnam
INV_00000149,2024-10-13,BUY_006268,Samsung Electronics,SUP_000050,Asian_Chemicals_Group,Steel,13847.34,138.47,tonnes,Vietnam
INV_00000150,2024-10-05,BUY_001671,Apple Inc,SUP_000048,Asian Energy Manufacturing,Electronics,6642.44,664.24,units,Germany
INV_00000151,2023-11-13,BUY_006268,Samsung Electronics,SUP_000007,Global_Steel,Textiles,3378.89,337.89,units,Vietnam
INV_00000152,2023-04-03,BUY_006268,Samsung Electronics,SUP_000008,BASF,Chemicals,4529.54,45.3,tonnes,China
INV_00000153,2023-07-25,BUY_000316,H&M Group,SUP_000026,Euro Energy Manufacturing,Steel,20444.0,204.44,tonnes,Germany
INV_00000154,2023-06-18,BUY_000316,H&M Group,SUP_000037,South_Chemicals_Industries,Chemicals,10255.5,102.55,tonnes,Japan
INV_00000155,2023-12-13,BUY_006268,Samsung Electronics,SUP_000002,SK_Hynix,Electronics,5339.09,533.91,units,Germany
INV_00000156,2023-08-20,BUY_003452,Tesla Inc,SUP_000041,Global Chemicals Group,Textiles,5334.77,533.48,units,China
INV_00000157,2023-04-03,BUY_005133,Microsoft Corporation,SUP_000009,DC,Textiles,2820.17,282.02,units,China
INV_00000158,2024-04-10,BUY_000316,H&M Group,SUP_000050,Asian_Chemicals_Group,Chemicals,3363.83,33.64,tonnes,Vietnam
INV_00000159,2024-08-21,BUY_005133,Microsoft Corporation,SUP_000026,Euro_Energy_Manufacturing,Textiles,3666.04,366.6,units,China
INV_00000160,2024-11-22,BUY_003452,Tesla Inc,SUP_000011,Huntsman,Steel,14582.29,145.82,tonnes,USA
INV_00000161,2024-09-16,BUY_002759,Intel Corporation,SUP_000047,Euro Textiles Group,Steel,16663.17,166.63,tonnes,Vietnam
INV_00000162,2024-12-18,BUY_006268,Samsung Electronics,SUP_000008,BASF Germany,Chemicals,17902.23,179.02,tonnes,USA
INV_00000163,2023-02-16,BUY_005133,Microsoft Corporation,SUP_000009,Dow Chemical,Electronics,3022.77,302.28,units,USA
INV_00000164,2023-04-10,BUY_002443,Google/Alphabet,SUP_000009,DC,Steel,15060.83,150.61,tonnes,China
INV_00000165,2024-04-09,BUY_002443,Google/Alphabet,SUP_000040,Asian_Steel_Corp,Chemicals,7021.14,70.21,tonnes,China
INV_00000166,2024-08-24,BUY_005133,Microsoft Corporation,SUP_000049,Global Electronics Ltd,Steel,25273.37,252.73,tonnes,Germany
INV_00000167,2024-05-16,BUY_001671,Apple Inc,SUP_000005,POSCO India,Energy,26380.76,2638.08,units,India
INV_00000168,2024-12-07,BUY_005599,NVIDIA Corporation,SUP_000008,BASF Germany,Chemicals,11331.58,113.32,tonnes,USA
INV_00000169,2024-01-07,BUY_003452,Tesla Inc,SUP_000026,Euro_Energy_Manufacturing,Electronics,2235.22,223.52,units,China
INV_00000170,2023-03-04,BUY_002759,Intel Corporation,SUP_000002,SH,Textiles,1199.32,119.93,units,Vietnam
INV_00000171,2023-04-04,BUY_001671,Apple Inc,SUP_000043,Euro_Chemicals_Inc,Steel,11412.39,114.12,tonnes,Japan
INV_00000172,2023-02-21,BUY_005599,NVIDIA Corporation,SUP_000003,Micron Tech,Chemicals,6991.83,69.92,tonnes,USA
INV_00000173,2023-03-12,BUY_005599,NVIDIA Corporation,SUP_000004,ArcelorMittal Vietnam,Energy,16365.04,1636.5,units,Vietnam
INV_00000174,2023-12-03,BUY_001671,Apple Inc,SUP_000043,Euro_Chemicals_Inc,Steel,23428.34,234.28,tonnes,Japan
INV_00000175,2023-10-11,BUY_000316,H&M Group,SUP_000040,Asian_Steel_Corp,Steel,16074.17,160.74,tonnes,China
INV_00000176,2023-06-28,BUY_006268,Samsung Electronics,SUP_000002,SH,Electronics,4221.84,422.18,units,Vietnam
INV_00000177,2023-01-16,BUY_003452,Tesla Inc,SUP_000018,South_Electronics_Corp,Chemicals,7910.79,79.11,tonnes,Vietnam
INV_00000178,2023-01-17,BUY_002443,Google/Alphabet,SUP_000003,Micron Tech,Steel,13129.65,131.3,tonnes,USA
INV_00000179,2024-06-22,BUY_002759,Intel Corporation,SUP_000037,South Chemicals Industries,Electronics,12058.59,1205.86,units,Japan
INV_00000180,2024-01-06,BUY_005599,NVIDIA Corporation,SUP_000008,BASF Germany,Energy,24005.13,2400.51,units,USA
INV_00000181,2024-09-21,BUY_000316,H&M Group,SUP_000049,Global_Electronics_Ltd,Electronics,4337.1,433.71,units,USA
INV_00000182,2024-04-14,BUY_002443,Google/Alphabet,SUP_000009,Dow Chemical,Electronics,3258.37,325.84,units,USA
INV_00000183,2024-03-12,BUY_005133,Microsoft Corporation,SUP_000008,BASF Germany,Electronics,6442.14,644.21,units,USA
INV_00000184,2023-03-24,BUY_006268,Samsung Electronics,SUP_000005,POSCO India,Chemicals,4947.49,49.47,tonnes,India
INV_00000185,2023-10-09,BUY_003452,Tesla Inc,SUP_000040,ASC,Energy,21598.08,2159.81,units,China
INV_00000186,2024-01-26,BUY_002443,Google/Alphabet,SUP_000008,BASF Germany,Energy,22834.46,2283.45,units,USA
INV_00000187,2023-04-12,BUY_005599,NVIDIA Corporation,SUP_000049,Global Electronics Ltd,Electronics,5303.37,530.34,units,Germany
INV_00000188,2024-03-16,BUY_003452,Tesla Inc,SUP_000030,Asian Steel Inc,Textiles,1245.46,124.55,units,Vietnam
INV_00000189,2024-04-09,BUY_003452,Tesla Inc,SUP_000002,SH,Textiles,553.07,55.31,units,Vietnam
INV_00000190,2024-03-13,BUY_006268,Samsung Electronics,SUP_000026,Euro_Energy_Manufacturing,Chemicals,4795.53,47.96,tonnes,China
INV_00000191,2024-12-04,BUY_005133,Microsoft Corporation,SUP_000002,SK_Hynix,Textiles,6405.47,640.55,units,Germany
INV_00000192,2024-03-18,BUY_006268,Samsung Electronics,SUP_000026,Euro_Energy_Manufacturing,Electronics,3908.29,390.83,units,China
INV_00000193,2024-07-23,BUY_003452,Tesla Inc,SUP_000009,DC,Electronics,2207.5,220.75,units,China
INV_00000194,2024-11-17,BUY_001671,Apple Inc,SUP_000008,BASF,Electronics,5132.51,513.25,units,China
INV_00000195,2023-10-22,BUY_005599,NVIDIA Corporation,SUP_000002,SH,Energy,19389.33,1938.93,units,Vietnam
INV_00000196,2023-06-08,BUY_003452,Tesla Inc,SUP_000002,SH,Textiles,1406.34,140.63,units,Vietnam
INV_00000197,2024-07-23,BUY_005599,NVIDIA Corporation,SUP_000005,POSCO India,Chemicals,6980.47,69.8,tonnes,India
INV_00000198,2024-03-15,BUY_001671,Apple Inc,SUP_000045,South_Electronics_Manufacturing,Energy,14735.28,1473.53,units,China
INV_00000199,2024-09-15,BUY_000316,H&M Group,SUP_000005,POSCO India,Chemicals,3771.15,37.71,tonnes,India
INV_00000200,2023-12-14,BUY_002443,Google/Alphabet,SUP_000003,Micron Tech,Chemicals,14154.44,141.54,tonnes,USA
INV_00000201,2023-03-13,BUY_005133,Microsoft Corporation,SUP_000002,SH,Steel,12818.82,128.19,tonnes,Vietnam
INV_00000202,2024-06-27,BUY_003452,Tesla Inc,SUP_000008,BASF Germany,Steel,25723.22,257.23,tonnes,USA
INV_00000203,2023-06-11,BUY_005133,Microsoft Corporation,SUP_000007,Global Steel,Chemicals,8789.61,87.9,tonnes,India
INV_00000204,2023-02-23,BUY_001671,Apple Inc,SUP_000011,Huntsman,Steel,7300.49,73.0,tonnes,USA
INV_00000205,2024-11-21,BUY_002759,Intel Corporation,SUP_000008,BASF,Electronics,2999.38,299.94,units,China
INV_00000206,2024-09-13,BUY_005133,Microsoft Corporation,SUP_000004,ArcelorMittal Vietnam,Textiles,3319.85,331.98,units,Vietnam
INV_00000207,2023-12-20,BUY_002759,Intel Corporation,SUP_000010,LyondellBasell,Textiles,5882.26,588.23,units,USA
INV_00000208,2024-06-23,BUY_001671,Apple Inc,SUP_000007,GS,Chemicals,7516.8,75.17,tonnes,India
INV_00000209,2023-01-08,BUY_006268,Samsung Electronics,SUP_000004,ArcelorMittal Vietnam,Steel,21928.74,219.29,tonnes,Vietnam
INV_00000210,2023-09-19,BUY_002759,Intel Corporation,SUP_000001,Taiwan Semiconductor,Chemicals,8547.15,85.47,tonnes,Vietnam
